roman,burmese,rank,source
my,မိုင်,70,forward
mya,မြ,70,forward
myae,မြေ့,70,forward
myaet,မျက်,70,forward
myain,မြိုင်,70,forward
myaine,မြိုင်,70,forward
myaing,မြိုင်,70,forward
myal,မြဲ,70,forward
myan,မြန်,70,forward
myar,မျာ,70,forward
myat,မြတ်,70,forward
myaw,မြော်,70,forward
myay,မြေ,70,forward
mye,မြဲ,70,forward
myek,မျက်,70,forward
myet,မျက်,70,forward
myin,မြင်,70,forward
myine,မြိုင်,70,forward
myint,မြင့်,70,forward
myintsu,မဉ္စူ,70,forward
myintzu,မဉ္ဇူ,70,forward
myit,မြစ်,70,forward
myo,မျိုး,70,forward
myoe,မြို့,70,forward
myu,မြူ,70,forward
myue,မြူး,70,forward
n,န,70,forward
na,န,70,forward
nae,နဲ့,70,forward
nail,နေး,70,forward
naing,နိုင်,70,forward
nak,နက်,70,forward
nal,နယ်,70,forward
nan,နန်း,70,forward
nanda,နန္ဒ,70,forward
nandar,နန္ဒာ,70,forward
nanddy,နန္ဒီ,70,forward
nande,နန္ဒီ,70,forward
nandi,နန္ဒီ,70,forward
nandy,နန္ဒီ,70,forward
nane,နဲမ်,70,forward
nang,နန်း,70,forward
nann,နန်း,70,forward
nant,နံ့,70,forward
nap,နပ်,70,forward
nar,နာ,70,forward
nat,နက်,70,forward
natt,နတ်,70,forward
nauk,နောက်,70,forward
naung,နောင်,70,forward
naunt,နောင့်,70,forward
naw,နော်,70,forward
nay,နေ,70,forward
nee,နီးလ်,70,forward
nek,နက်,70,forward
net,နက်,70,forward
ney,နီ,70,forward
nga,င,70,forward
ngaik,ငိုက်,70,forward
ngain,ငိုင်,70,forward
ngal,ငယ်,70,forward
ngan,ငန်,70,forward
ngar,ငါး,70,forward
nge,ငယ်,70,forward
ngeik,ငိုက်,70,forward
ngike,ငိုက်,70,forward
ngon,ငုံ,70,forward
ngone,ငုံ,70,forward
ngu,ငု,70,forward
ngwae,ငွေ့,70,forward
ngway,ငွေ,70,forward
ngwe,ငွေ,70,forward
nham,နှဲမ်,70,forward
nhame,နှဲမ်း,70,forward
nhaw,နှော,70,forward
nhyin,ညှင်း,70,forward
ni,နီ,70,forward
nie,နီးလ်,70,forward
nin,နင်,70,forward
nine,နိုင်း,70,forward
ninga,နင်္ဂ,70,forward
nite,နိုက်,70,forward
nix,နစ်,70,forward
no,နို,70,forward
noe,နိုး,70,forward
non,နွန်,70,forward
nong,နွံ,70,forward
now,နိုး,70,forward
nu,နု,70,forward
nue,နူး,70,forward
nun,နွန်း,70,forward
nune,နွန်း,70,forward
nuu,နူး,70,forward
nwal,နွယ်,70,forward
nwan,နွမ်း,70,forward
nway,နွေး,70,forward
nwe,နွယ်,70,forward
nwet,နွဲ့,70,forward
ny,နီ,70,forward
nya,ည,70,forward
nyan,ဉာဏ်,70,forward
nyar,ညား,70,forward
nyaung,ညောင်,70,forward
nyein,ငြိမ်း,70,forward
nyeint,ငြိမ့်,70,forward
nyet,ညက်,70,forward
nyew,နျူး,70,forward
nyi,ညီ,70,forward
nyin,ညင်,70,forward
nyo,ညို,70,forward
nyot,ညို့,70,forward
nyu,ညု,70,forward
nyunt,ညွန့်,70,forward
nywat,ညွတ်,70,forward
o,အို,70,forward
oagar,ဥဂ္ဂါ,70,forward
oak,အုပ်,70,forward
oaka,ဥက္က,70,forward
oakar,ဥက္ကာ,70,forward
oakkar,ဥက္ကာ,70,forward
oakta,ဥတ္တ,70,forward
ohn,အုန်း,70,forward
ohne,အုန်း,70,forward
ohnmar,ဥမ္မာ,70,forward
ok,အုပ်,70,forward
oke,အုပ်,70,forward
oketa,ဥတ္တ,70,forward
om,အိုမ်,70,forward
one,ဝမ်း,70,forward
oo,ဦး,70,forward
ooe,အိုး,70,forward
ou,ဥ,70,forward
oum,အွမ်,70,forward
outa,ဥတ္တ,70,forward
p,ပ,70,forward
pa,ပ,70,forward
pae,ပဲန်,70,forward
paik,ပိုက်,70,forward
paing,ပိုင်,70,forward
pal,ပယ်,70,forward
pan,ပန်း,70,forward
pann,ပန်း,70,forward
par,ပါ,70,forward
parl,ပါးရ်,70,forward
part,ပါ့,70,forward
pauk,ပေါက်,70,forward
paung,ပေါင်,70,forward
paw,ပေါ်,70,forward
pawt,ပေါ့,70,forward
pay,ပေ,70,forward
paye,ပြည့်,70,forward
pe,ဖေ,70,forward
pee,ပြီး,70,forward
pep,ပပ်ဖ်,70,forward
per,ပါ,70,forward
pha,ဖ,70,forward
phaik,ဖိုက်,70,forward
phain,ဖိန်,70,forward
phal,ဖယ်,70,forward
phan,ဖန်,70,forward
phant,ဖန့်,70,forward
